Task,Language,Type,Pass@k Score
Task 1,Python,Original,0.8
Task 1,Python,Adaptive,0.89
Task 2,Python,Original,0.61
Task 2,Python,Adaptive,0.67
Task 3,MATLAB,Original,0.74
Task 3,MATLAB,Adaptive,0.81
Task 4,MATLAB,Original,0.65
Task 4,MATLAB,Adaptive,0.71
Task 5,Python,Original,0.65
Task 5,Python,Adaptive,0.73
Task 6,C++,Original,0.69
Task 6,C++,Adaptive,0.71
Task 7,Python,Original,0.73
Task 7,Python,Adaptive,0.81
Task 8,Python,Original,0.78
Task 8,Python,Adaptive,0.87
Task 9,C++,Original,0.59
Task 9,C++,Adaptive,0.68
Task 10,Python,Original,0.82
Task 10,Python,Adaptive,0.92
Task 11,PLC,Original,0.64
Task 11,PLC,Adaptive,0.67
Task 12,MATLAB,Original,0.79
Task 12,MATLAB,Adaptive,0.87
Task 13,Unknown,Original,0.57
Task 13,Unknown,Adaptive,0.65
Task 14,MATLAB,Original,0.68
Task 14,MATLAB,Adaptive,0.74
Task 15,MATLAB,Original,0.58
Task 15,MATLAB,Adaptive,0.65
Task 16,MATLAB,Original,0.8
Task 16,MATLAB,Adaptive,0.88
Task 17,C++,Original,0.72
Task 17,C++,Adaptive,0.79
Task 18,C++,Original,0.62
Task 18,C++,Adaptive,0.66
Task 19,MATLAB,Original,0.81
Task 19,MATLAB,Adaptive,0.88
Task 20,MATLAB,Original,0.56
Task 20,MATLAB,Adaptive,0.62
Task 21,Unknown,Original,0.81
Task 21,Unknown,Adaptive,0.93
Task 22,Unknown,Original,0.54
Task 22,Unknown,Adaptive,0.62
Task 23,PLC,Original,0.68
Task 23,PLC,Adaptive,0.7
Task 24,Unknown,Original,0.81
Task 24,Unknown,Adaptive,0.88
Task 25,MATLAB,Original,0.62
Task 25,MATLAB,Adaptive,0.67
Task 26,PLC,Original,0.83
Task 26,PLC,Adaptive,0.93
Task 27,PLC,Original,0.85
Task 27,PLC,Adaptive,0.89
Task 28,Unknown,Original,0.73
Task 28,Unknown,Adaptive,0.75
Task 29,PLC,Original,0.68
Task 29,PLC,Adaptive,0.79
Task 30,Unknown,Original,0.74
Task 30,Unknown,Adaptive,0.79
Task 31,Unknown,Original,0.66
Task 31,Unknown,Adaptive,0.75
Task 32,Unknown,Original,0.8
Task 32,Unknown,Adaptive,0.89
Task 33,Unknown,Original,0.71
Task 33,Unknown,Adaptive,0.83
Task 34,MATLAB,Original,0.74
Task 34,MATLAB,Adaptive,0.82
Task 35,Unknown,Original,0.61
Task 35,Unknown,Adaptive,0.64
Task 36,Unknown,Original,0.6
Task 36,Unknown,Adaptive,0.65
Task 37,Unknown,Original,0.72
Task 37,Unknown,Adaptive,0.74
Task 38,Unknown,Original,0.66
Task 38,Unknown,Adaptive,0.73
Task 39,Unknown,Original,0.72
Task 39,Unknown,Adaptive,0.75
Task 40,Unknown,Original,0.81
Task 40,Unknown,Adaptive,0.84
Task 41,Unknown,Original,0.7
Task 41,Unknown,Adaptive,0.72
Task 42,Unknown,Original,0.65
Task 42,Unknown,Adaptive,0.74
Task 43,Unknown,Original,0.81
Task 43,Unknown,Adaptive,0.82
Task 44,Unknown,Original,0.86
Task 44,Unknown,Adaptive,0.9
Task 45,Unknown,Original,0.73
Task 45,Unknown,Adaptive,0.77
Task 46,Unknown,Original,0.62
Task 46,Unknown,Adaptive,0.68
Task 47,Unknown,Original,0.79
Task 47,Unknown,Adaptive,0.83
Task 48,Unknown,Original,0.8
Task 48,Unknown,Adaptive,0.87
Task 49,Unknown,Original,0.63
Task 49,Unknown,Adaptive,0.69
Task 50,Unknown,Original,0.7
Task 50,Unknown,Adaptive,0.81
Task 51,Unknown,Original,0.84
Task 51,Unknown,Adaptive,0.9
Task 52,Unknown,Original,0.85
Task 52,Unknown,Adaptive,0.89
Task 53,Unknown,Original,0.85
Task 53,Unknown,Adaptive,0.94
Task 54,Unknown,Original,0.83
Task 54,Unknown,Adaptive,0.91
Task 55,Unknown,Original,0.86
Task 55,Unknown,Adaptive,0.88
Task 56,Unknown,Original,0.74
Task 56,Unknown,Adaptive,0.81
Task 57,Unknown,Original,0.83
Task 57,Unknown,Adaptive,0.88
Task 58,Unknown,Original,0.81
Task 58,Unknown,Adaptive,0.87
Task 59,Unknown,Original,0.71
Task 59,Unknown,Adaptive,0.8
Task 60,Unknown,Original,0.65
Task 60,Unknown,Adaptive,0.68
Task 61,PLC,Original,0.74
Task 61,PLC,Adaptive,0.79
Task 62,MATLAB,Original,0.63
Task 62,MATLAB,Adaptive,0.72
Task 63,Unknown,Original,0.66
Task 63,Unknown,Adaptive,0.74
Task 64,MATLAB,Original,0.69
Task 64,MATLAB,Adaptive,0.79
Task 65,MATLAB,Original,0.6
Task 65,MATLAB,Adaptive,0.62
Task 66,MATLAB,Original,0.76
Task 66,MATLAB,Adaptive,0.82
Task 67,Unknown,Original,0.69
Task 67,Unknown,Adaptive,0.76
Task 68,MATLAB,Original,0.61
Task 68,MATLAB,Adaptive,0.67
Task 69,MATLAB,Original,0.67
Task 69,MATLAB,Adaptive,0.76
Task 70,Unknown,Original,0.73
Task 70,Unknown,Adaptive,0.76
Task 71,Unknown,Original,0.66
Task 71,Unknown,Adaptive,0.76
Task 72,Unknown,Original,0.76
Task 72,Unknown,Adaptive,0.79
Task 73,Unknown,Original,0.79
Task 73,Unknown,Adaptive,0.88
Task 74,MATLAB,Original,0.73
Task 74,MATLAB,Adaptive,0.77
Task 75,Unknown,Original,0.86
Task 75,Unknown,Adaptive,0.92
Task 76,Unknown,Original,0.7
Task 76,Unknown,Adaptive,0.76
Task 77,Unknown,Original,0.73
Task 77,Unknown,Adaptive,0.78
Task 78,Unknown,Original,0.58
Task 78,Unknown,Adaptive,0.65
Task 79,Unknown,Original,0.89
Task 79,Unknown,Adaptive,0.91
Task 80,Python,Original,0.57
Task 80,Python,Adaptive,0.62
Task 81,MATLAB,Original,0.83
Task 81,MATLAB,Adaptive,0.86
Task 82,Unknown,Original,0.78
Task 82,Unknown,Adaptive,0.86
Task 83,MATLAB,Original,0.69
Task 83,MATLAB,Adaptive,0.79
Task 84,MATLAB,Original,0.73
Task 84,MATLAB,Adaptive,0.81
Task 85,MATLAB,Original,0.63
Task 85,MATLAB,Adaptive,0.69
Task 86,MATLAB,Original,0.59
Task 86,MATLAB,Adaptive,0.66
Task 87,MATLAB,Original,0.66
Task 87,MATLAB,Adaptive,0.74
Task 88,MATLAB,Original,0.69
Task 88,MATLAB,Adaptive,0.75
Task 89,MATLAB,Original,0.73
Task 89,MATLAB,Adaptive,0.79
Task 90,MATLAB,Original,0.66
Task 90,MATLAB,Adaptive,0.73
Task 91,MATLAB,Original,0.73
Task 91,MATLAB,Adaptive,0.77
Task 92,Unknown,Original,0.72
Task 92,Unknown,Adaptive,0.78
Task 93,Unknown,Original,0.77
